Symbol,Date,Initial Balance,End Balance,StartTime,EndTime,Full Date Time,Profit/Loss,DiffTime,Type,BollingerLower,StartPrice,BollingerUpper,EndPrice,
TSLA,20231030,100000.0,99965.66,1221,1224,'202310301221,-34.33999999999651,3,SELL,197.92,197.83,200.04,198.17,
TSLA,20231030,99965.66,99937.66,1228,1230,'202310301228,-28.0,2,SELL,197.83,198.17,198.39,198.45,
TSLA,20231030,99937.66,100127.66,1234,1250,'202310301234,190.0,16,SELL,198.11,198.32,198.39,196.42,
TSLA,20231030,100127.66,100150.1,1254,1257,'202310301254,22.44000000000233,3,SELL,195.72,195.56,196.54,195.34,
TSLA,20231030,100150.1,100107.26,1301,1305,'202310301301,-42.84000000001106,4,SELL,195.01,196.02,196.42,196.44,
TSLA,20231030,100107.26,100063.4,1309,1321,'202310301309,-43.86000000000058,12,SELL,195.77,195.92,196.31,196.35,
TSLA,20231030,100063.4,100040.17,1325,1326,'202310301325,-23.229999999995925,1,SELL,195.44,196.15,196.43,196.38,
TSLA,20231030,100040.17,100032.09,1427,1438,'202310301427,-8.080000000001746,11,SELL,196.14,196.28,196.83,196.36,
TSLA,20231030,100032.09,100011.89,1442,1443,'202310301442,-20.19999999999709,1,SELL,195.85,196.57,196.58,196.77,
TSLA,20231030,100011.89,99963.41,1458,1501,'202310301458,-48.479999999995925,3,SELL,196.15,196.38,197.14,196.86,
TSLA,20231030,99963.41,99937.15,1505,1506,'202310301505,-26.260000000009313,1,SELL,196.18,196.95,197.02,197.21,
TSLA,20231031,99937.15,99879.01,0938,0939,'202310310938,-58.13999999999942,1,SELL,194.58,194.84,197.75,195.41,
TSLA,20231031,99879.01,99772.96,0943,0945,'202310310943,-106.04999999998836,2,SELL,194.51,197.18,197.14,198.23,
TSLA,20231031,99772.96,99760.96,1019,1026,'202310311019,-12.0,7,BUY,199.5,199.76,200.57,199.64,
TSLA,20231031,99760.96,99722.96,1030,1031,'202310311030,-38.0,1,BUY,199.16,199.35,200.48,198.97,
TSLA,20231031,99722.96,99684.96,1055,1056,'202310311055,-38.0,1,BUY,197.84,199.27,199.39,198.89,
TSLA,20231031,99684.96,99665.96,1100,1111,'202310311100,-19.0,11,BUY,198.31,198.66,199.5,198.47,
TSLA,20231031,99665.96,99594.96,1115,1116,'202310311115,-71.0,1,BUY,198.35,198.5,199.21,197.79,
TSLA,20231031,99594.96,99586.96,1203,1208,'202310311203,-8.0,5,BUY,197.46,198.2,198.4,198.12,
TSLA,20231031,99586.96,99555.96,1212,1213,'202310311212,-31.0,1,BUY,198.17,198.49,198.53,198.18,
